rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	13108686	16546043	Kund Malwāna Forest	N	33.206868	75.65495				FRST	V	IND	IN-JK		1							Kund Malwana Forest	FOREST	KUNDMALWANAFOREST	33:12:25	75:39:18	43SES6104074412	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108700	16546057	Ludna Badwā Forest	N	33.235014	75.654261				FRST	V	IND	IN-JK		1							Ludna Badwa Forest	FOREST	LUDNABADWAFOREST	33:14:06	75:39:15	43SES6095677532	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108702	16546059	Nāgni Forest	N	33.246931	75.62113				FRST	V	IND	IN-JK		1							Nagni Forest	FOREST	NAGNIFOREST	33:14:49	75:37:16	43SES5786278834	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108708	16546065	Panyāla Forest	N	33.239662	75.683826				FRST	V	IND	IN-JK		1							Panyala Forest	FOREST	PANYALAFOREST	33:14:23	75:41:02	43SES6370878065	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108711	16546068	Khaure Forest	N	33.242336	75.724812				FRST	V	IND	IN-JK		1							Khaure Forest	FOREST	KHAUREFOREST	33:14:32	75:43:29	43SES6752478387	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108724	16546081	Bhalwāna Chharot Forest	N	33.199938	75.725928				FRST	V	IND	IN-JK		1							Bhalwana Chharot Forest	FOREST	BHALWANACHHAROTFOREST	33:12:00	75:43:33	43SES6766173687	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108800	16546157	Khandā Dhār Forest	N	33.058049	75.704041				FRST	V	IND	IN-JK		1							Khanda Dhar Forest	FOREST	KHANDADHARFOREST	33:03:29	75:42:15	43SES6572657943	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108802	16546159	Sawār Dhār Forest	N	33.048232	75.726657				FRST	V	IND	IN-JK		1							Sawar Dhar Forest	FOREST	SAWARDHARFOREST	33:02:54	75:43:36	43SES6784556869	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108907	16546253	Dasrathpur Reserve	N	23.155581	80.250303				FRST	V	IND	IN-MP		1							Dasrathpur Reserve		DASRATHPURRESERVE	23:09:20	80:15:01	44QML2325760940	2015-08-03T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13108921	16546267	Rerum Reserve	N	23.11067	80.350616				FRST	V	IND	IN-MP		1							Rerum Reserve		RERUMRESERVE	23:06:38	80:21:02	44QML3350455919	2015-08-03T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
